Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W],VAV_4:DesPer 1:Des Heat Mass Flow [kg/s],VAV_4:DesPer 1:Des Heat Cap [W],VAV_4:DesPer 1:Des Cool Mass Flow [kg/s],VAV_4:DesPer 1:Des Sens Cool Cap [W],VAV_4:DesPer 1:Des Tot Cool Cap [W],VAV_4:DesPer 2:Des Heat Mass Flow [kg/s],VAV_4:DesPer 2:Des Heat Cap [W],VAV_4:DesPer 2:Des Cool Mass Flow [kg/s],VAV_4:DesPer 2:Des Sens Cool Cap [W],VAV_4:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.466931E-01,0.000000E+00,2.939417E+00,3.395963E+04,4.278714E+04,5.818968E-01,1.764409E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.877263E+00,2.156132E+04,2.762295E+04,6.787665E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.822478E+00,2.094951E+04,2.734081E+04,7.688920E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.334421E+00,2.669799E+04,3.373051E+04,7.805050E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
00:20:00,2.466931E-01,0.000000E+00,2.925665E+00,3.377997E+04,4.260534E+04,5.816100E-01,1.766054E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.861910E+00,2.137612E+04,2.743630E+04,6.785042E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.805914E+00,2.075080E+04,2.714007E+04,7.686561E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.313270E+00,2.644732E+04,3.347291E+04,7.803451E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
00:30:00,2.466931E-01,0.000000E+00,2.912187E+00,3.360338E+04,4.242617E+04,5.813246E-01,1.767690E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.846879E+00,2.119453E+04,2.725239E+04,6.782439E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.789685E+00,2.055583E+04,2.694197E+04,7.684225E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.292640E+00,2.620245E+04,3.322056E+04,7.801872E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
00:40:00,2.466931E-01,0.000000E+00,2.898973E+00,3.342974E+04,4.224962E+04,5.810406E-01,1.769318E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.832158E+00,2.101640E+04,2.707127E+04,6.779856E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.773780E+00,2.036448E+04,2.674662E+04,7.681912E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.272508E+00,2.596316E+04,3.297336E+04,7.800313E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
00:50:00,2.466931E-01,0.000000E+00,2.885989E+00,3.325867E+04,4.207538E+04,5.807579E-01,1.770937E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.817698E+00,2.084117E+04,2.689245E+04,6.777291E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.758144E+00,2.017613E+04,2.655350E+04,7.679621E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.252782E+00,2.572840E+04,3.273028E+04,7.798774E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
01:00:00,2.466931E-01,0.000000E+00,2.873268E+00,3.309052E+04,4.190391E+04,5.804765E-01,1.772548E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.803553E+00,2.066947E+04,2.671680E+04,6.774745E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.742838E+00,1.999148E+04,2.636361E+04,7.677352E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.233563E+00,2.549929E+04,3.249276E+04,7.797254E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
01:10:00,2.466931E-01,0.000000E+00,2.861015E+00,3.293631E+04,4.174669E+04,5.804380E-01,1.772769E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.789792E+00,2.050666E+04,2.655001E+04,6.773873E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.727903E+00,1.981555E+04,2.618233E+04,7.676190E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.214854E+00,2.528073E+04,3.226597E+04,7.796393E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
01:20:00,2.466931E-01,0.000000E+00,2.849058E+00,3.278542E+04,4.159271E+04,5.804001E-01,1.772986E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.776379E+00,2.034772E+04,2.638691E+04,6.773014E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.713333E+00,1.964370E+04,2.600487E+04,7.675047E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.196665E+00,2.506797E+04,3.204499E+04,7.795548E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
01:30:00,2.466931E-01,0.000000E+00,2.837403E+00,3.263788E+04,4.144204E+04,5.803626E-01,1.773200E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.763324E+00,2.019279E+04,2.622765E+04,6.772168E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.699141E+00,1.947607E+04,2.583141E+04,7.673920E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.179022E+00,2.486131E+04,3.183013E+04,7.794719E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
01:40:00,2.466931E-01,0.000000E+00,2.826047E+00,3.249368E+04,4.129469E+04,5.803256E-01,1.773412E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.750626E+00,2.004183E+04,2.607227E+04,6.771335E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.685325E+00,1.931263E+04,2.566202E+04,7.672812E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.161929E+00,2.466079E+04,3.162150E+04,7.793905E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
